"ecosystem"	"package"	"version"	"license"	"license_files"	"status"
"cargo"	"defmt"	"1.1.1"	"MIT OR Apache-2.0"	"defmt_1.1.1__LICENSE-APACHE;defmt_1.1.1__LICENSE-MIT"	"included"
"cargo"	"defmt-macros"	"1.1.1"	"MIT OR Apache-2.0"	"defmt-macros_1.1.1__LICENSE-APACHE;defmt-macros_1.1.1__LICENSE-MIT"	"included"
"cargo"	"defmt-parser"	"1.0.0"	"MIT OR Apache-2.0"	""	"missing"
"cargo"	"deranged"	"0.5.8"	"MIT OR Apache-2.0"	"deranged_0.5.8__LICENSE-Apache;deranged_0.5.8__LICENSE-MIT"	"included"
"cargo"	"derive_more"	"2.1.1"	"MIT"	"derive_more_2.1.1__LICENSE"	"included"
"cargo"	"derive_more-impl"	"2.1.1"	"MIT"	"derive_more-impl_2.1.1__LICENSE"	"included"
"cargo"	"digest"	"0.10.7"	"MIT OR Apache-2.0"	"digest_0.10.7__LICENSE-APACHE;digest_0.10.7__LICENSE-MIT"	"included"
"cargo"	"dirs"	"6.0.0"	"MIT OR Apache-2.0"	"dirs_6.0.0__LICENSE-APACHE;dirs_6.0.0__LICENSE-MIT"	"included"
"cargo"	"dirs-sys"	"0.5.0"	"MIT OR Apache-2.0"	"dirs-sys_0.5.0__LICENSE-APACHE;dirs-sys_0.5.0__LICENSE-MIT"	"included"
"cargo"	"displaydoc"	"0.2.7"	"MIT OR Apache-2.0"	"displaydoc_0.2.7__LICENSE-APACHE;displaydoc_0.2.7__LICENSE-MIT"	"included"
"cargo"	"dom_query"	"0.27.0"	"MIT"	"dom_query_0.27.0__LICENSE"	"included"
"cargo"	"dpi"	"0.1.2"	"Apache-2.0 AND MIT"	"dpi_0.1.2__LICENSE;dpi_0.1.2__LICENSE-LIBM-MIT"	"included"
"cargo"	"dtoa"	"1.0.11"	"MIT OR Apache-2.0"	"dtoa_1.0.11__LICENSE-APACHE;dtoa_1.0.11__LICENSE-MIT"	"included"
"cargo"	"dtoa-short"	"0.3.5"	"MPL-2.0"	"dtoa-short_0.3.5__LICENSE"	"included"
